Country,Year,Mission Name,Mission Type,Launch Site,Satellite Type,Budget (in Billion $),Success Rate (%),Technology Used,Environmental Impact,Collaborating Countries,Duration (in Days)
China,2017,Synergized impactful algorithm,Manned,Russellmouth,Communication,6.62,92,Traditional Rocket,High,"Germany, Russia",106
China,2008,Virtual regional array,Unmanned,Port Jessica,Communication,0.73,99,Traditional Rocket,Medium,"Japan, Germany",279
Japan,2008,Reverse-engineered interactive neural-net,Unmanned,South Amy,Spy,2.76,93,Traditional Rocket,Medium,"Japan, India",265
USA,2001,Horizontal hybrid database,Unmanned,East Jasonborough,Weather,17.77,91,Traditional Rocket,Low,"Germany, Russia",144
USA,2016,Advanced user-facing instruction set,Unmanned,Larachester,Communication,48.47,95,Traditional Rocket,Low,"Germany, India",28
USA,2023,Up-sized web-enabled extranet,Manned,Valdezland,Communication,11.22,95,Traditional Rocket,Low,Germany,44
Germany,2008,Managed bandwidth-monitored circuit,Unmanned,Sanfordstad,Navigation,1.01,92,Traditional Rocket,Medium,USA,298
Russia,2004,Distributed value-added contingency,Unmanned,Theresaton,Weather,3.48,97,Traditional Rocket,High,"Japan, China",91
France,2004,Triple-buffered didactic open architecture,Unmanned,Danaville,Weather,1.46,91,Traditional Rocket,Medium,"India, Russia",363
Russia,2015,Visionary multi-state encryption,Unmanned,Danielview,Navigation,5.75,91,Traditional Rocket,Medium,"USA, China",79
China,2006,Programmable transitional instruction set,Unmanned,Port Scottside,Navigation,0.33,94,Traditional Rocket,Low,"Germany, Japan",268
China,2024,Persistent modular contingency,Unmanned,South Lorrainestad,Communication,1.54,92,Reusable Rocket,Medium,,112
Japan,2022,Distributed zero administration extranet,Unmanned,Davishaven,Weather,0.25,94,Traditional Rocket,High,"India, Germany, USA",214
France,2005,Monitored human-resource utilization,Unmanned,East Amystad,Communication,6.62,91,Traditional Rocket,Low,"Germany, USA",336
India,2023,Public-key zero-defect complexity,Unmanned,South Alexander,Research,0.44,96,AI Navigation,High,Germany,300
India,2011,Fundamental disintermediate framework,Unmanned,North Josephside,Communication,2.57,90,Traditional Rocket,Low,,336
USA,2008,Realigned dynamic toolset,Unmanned,Ericfort,Spy,40.83,91,Traditional Rocket,High,"Russia, USA",337
China,2017,Implemented secondary monitoring,Unmanned,South Gabrieltown,Research,3.63,91,Traditional Rocket,High,UK,200
Germany,2013,Team-oriented grid-enabled paradigm,Unmanned,East Tammy,Communication,3.97,96,Traditional Rocket,Low,,336
UK,2018,Compatible intermediate application,Unmanned,East Michaelfort,Weather,1.51,88,Traditional Rocket,Medium,"USA, Japan",160
Japan,2001,Organic real-time archive,Unmanned,New Sherriberg,Research,0.82,96,Traditional Rocket,Low,Russia,123
USA,2010,Enterprise-wide systematic groupware,Manned,Ashleymouth,Communication,38.09,98,Traditional Rocket,Low,China,297
France,2019,Fully-configurable radical utilization,Unmanned,Torresstad,Weather,1.63,97,Traditional Rocket,High,Japan,34
Germany,2021,Synergized directional superstructure,Unmanned,Parkhaven,Navigation,0.6,99,Traditional Rocket,Low,Japan,181
France,2014,Sharable system-worthy framework,Unmanned,Williammouth,Research,2.75,91,Traditional Rocket,Medium,USA,64
UK,2024,Monitored web-enabled artificial intelligence,Unmanned,Port Amberbury,Navigation,0.64,91,Solar Propulsion,Medium,"Germany, Russia",217
USA,2007,Managed zero-defect capability,Unmanned,North Jacob,Spy,14.23,91,Traditional Rocket,Low,Japan,9
Russia,2020,Compatible non-volatile firmware,Unmanned,Mariahaven,Navigation,1.32,92,Traditional Rocket,High,China,336
India,2024,Switchable scalable ability,Unmanned,North James,Research,0.46,97,Reusable Rocket,High,"Japan, UK",191
France,2013,Diverse stable concept,Unmanned,North Jennifer,Communication,0.23,92,Traditional Rocket,Medium,,278
India,2024,Public-key cohesive encryption,Unmanned,Edwardburgh,Research,0.39,95,Reusable Rocket,Low,Japan,64
Russia,2024,Upgradable bottom-line frame,Unmanned,Sandrastad,Spy,0.6,99,Reusable Rocket,Low,France,255
China,2014,Intuitive 3rdgeneration capability,Unmanned,Donnafurt,Spy,5.1,95,Traditional Rocket,High,"Japan, France",92
Russia,2022,Reactive context-sensitive interface,Unmanned,Lake Christopher,Navigation,0.23,91,Traditional Rocket,Low,"China, India, Japan",83
France,2001,Focused contextually-based architecture,Unmanned,Brooksberg,Research,3.52,96,Traditional Rocket,High,"India, Japan",141
UK,2001,Assimilated non-volatile artificial intelligence,Unmanned,East Lee,Communication,0.27,96,Traditional Rocket,Medium,"France, USA",165
USA,2012,Optimized multimedia hardware,Unmanned,North Robertaland,Communication,26.61,97,Traditional Rocket,Medium,Japan,80
USA,2024,Innovative heuristic product,Unmanned,Roblesfurt,Weather,3.74,96,Reusable Rocket,Medium,"USA, Russia",152
USA,2021,Networked even-keeled solution,Unmanned,Port Meganshire,Spy,6.13,92,Traditional Rocket,Medium,,92
India,2002,Centralized multimedia ability,Unmanned,Lake Debbie,Research,1.27,89,Traditional Rocket,High,UK,255
UK,2011,Horizontal web-enabled middleware,Unmanned,Frankborough,Communication,1.98,96,Traditional Rocket,Low,"Germany, Japan",294
UK,2010,Organized 24hour adapter,Unmanned,East Williammouth,Weather,2.1,89,Traditional Rocket,High,"India, China, USA",299
Germany,2023,Customer-focused disintermediate solution,Unmanned,Turnerview,Communication,0.79,93,Traditional Rocket,Medium,"China, USA",254
USA,2023,Digitized clear-thinking initiative,Unmanned,Lindabury,Communication,12.12,92,Traditional Rocket,High,"France, USA",188
Germany,2008,Upgradable zero tolerance matrix,Unmanned,Lake Destiny,Communication,1.81,95,Traditional Rocket,Medium,"China, Russia",121
UK,2024,User-friendly optimizing core,Unmanned,Lake Kevin,Research,0.37,91,AI Navigation,Medium,"China, France",362
China,2000,Fundamental secondary time-frame,Unmanned,Amandamouth,Navigation,0.88,99,Traditional Rocket,High,Russia,294
Germany,2024,Pre-emptive human-resource forecast,Unmanned,Richardsonside,Weather,1.17,91,Reusable Rocket,High,France,321
China,2024,Mandatory systemic application,Unmanned,North Tammy,Communication,5.12,90,Reusable Rocket,Medium,"Russia, UK",146
Japan,2011,Robust heuristic productivity,Unmanned,West Scott,Communication,2.66,96,Traditional Rocket,Low,"Germany, France, UK",271
UK,2019,Switchable mobile knowledge user,Unmanned,Oliviaview,Communication,1.29,97,Reusable Rocket,Low,China,129
UK,2016,User-friendly asynchronous framework,Unmanned,Lake Travis,Weather,1.06,88,Traditional Rocket,High,"Russia, India",350
UK,2018,Universal context-sensitive help-desk,Unmanned,Brittneyport,Communication,0.4,91,Traditional Rocket,Medium,,38
USA,2023,Mandatory impactful system engine,Unmanned,Dorothystad,Weather,1.08,97,Traditional Rocket,High,"France, UK",100
Germany,2002,Cross-platform zero administration task-force,Unmanned,Port Jenniferton,Weather,2.57,94,Traditional Rocket,High,"Russia, India, USA",354
USA,2023,Secured national framework,Unmanned,Morseview,Communication,6.69,94,Reusable Rocket,High,"China, France",180
UK,2023,Intuitive non-volatile groupware,Unmanned,Ruizton,Spy,0.32,89,Solar Propulsion,Low,,167
France,2000,Universal heuristic extranet,Unmanned,New Alex,Communication,1.61,97,Traditional Rocket,High,China,284
China,2022,Total modular extranet,Unmanned,Blackwellstad,Communication,2.11,92,Reusable Rocket,Medium,Germany,23
China,2020,Balanced executive monitoring,Unmanned,Port Caitlinmouth,Research,8.35,95,Traditional Rocket,Medium,India,193
USA,2015,Vision-oriented scalable project,Manned,Port Travis,Weather,38.76,95,Traditional Rocket,Low,"UK, India, Russia",91
UK,2010,Future-proofed exuding task-force,Unmanned,East Steven,Navigation,0.96,96,Traditional Rocket,Medium,"USA, China",175
India,2023,Visionary uniform data-warehouse,Unmanned,Port Tracyberg,Communication,0.82,93,Traditional Rocket,Low,"Japan, Germany",43
Germany,2014,Robust hybrid function,Unmanned,West Katherine,Weather,4.01,94,Traditional Rocket,Medium,Germany,281
China,2005,Pre-emptive grid-enabled workforce,Unmanned,Chaseberg,Navigation,1.11,92,Traditional Rocket,Medium,USA,239
China,2000,Horizontal motivating superstructure,Unmanned,Cowanfort,Communication,1.13,93,Traditional Rocket,Low,"UK, China",192
USA,2018,Open-architected system-worthy middleware,Unmanned,West Brian,Communication,8.36,97,Traditional Rocket,Medium,India,41
USA,2023,Optimized dynamic structure,Unmanned,East William,Communication,9.56,97,Traditional Rocket,Medium,"France, China, UK",216
France,2024,Programmable logistical policy,Unmanned,Lake Shelby,Navigation,0.67,93,AI Navigation,Low,USA,296
France,2024,Integrated asymmetric pricing structure,Unmanned,South Christopher,Weather,1.41,97,Reusable Rocket,Medium,Japan,228
India,2023,Enhanced responsive capacity,Unmanned,New Eric,Research,0.49,88,Traditional Rocket,Low,"UK, China",337
UK,2001,Digitized 6thgeneration infrastructure,Unmanned,New Cynthiashire,Communication,0.27,98,Traditional Rocket,Medium,China,3
France,2006,Extended optimizing analyzer,Unmanned,New Benjamin,Weather,1.5,95,Traditional Rocket,Medium,"Japan, USA, India",235
Russia,2024,Future-proofed multi-tasking definition,Unmanned,Boydview,Spy,0.84,88,Traditional Rocket,High,Russia,291
Russia,2019,Monitored encompassing moratorium,Unmanned,South Valerieshire,Spy,0.09,89,Traditional Rocket,High,"Russia, UK",233
UK,2024,Synergistic uniform standardization,Unmanned,Hernandeztown,Weather,0.43,88,Traditional Rocket,High,"UK, Germany",222
India,2017,Progressive stable function,Unmanned,Port Summer,Communication,0.86,96,Traditional Rocket,Medium,,106
France,2017,Seamless zero-defect open system,Unmanned,Ryanside,Weather,1.5,97,Traditional Rocket,High,USA,56
China,2020,Optimized maximized complexity,Unmanned,West Danielville,Spy,0.59,92,AI Navigation,High,"UK, USA",88
India,2023,Cross-group directional help-desk,Unmanned,Ellisonchester,Navigation,0.67,88,Traditional Rocket,High,,42
India,2004,Visionary national flexibility,Unmanned,Burtonland,Research,1.33,97,Traditional Rocket,High,"Germany, Japan",178
Japan,2005,Advanced neutral neural-net,Unmanned,Robertsonchester,Communication,0.38,92,Traditional Rocket,High,"Germany, USA, Russia",157
France,2024,Reactive zero tolerance frame,Unmanned,Lake Teresastad,Navigation,1.25,97,Traditional Rocket,High,France,241
UK,2021,Organic full-range synergy,Unmanned,Brandiberg,Research,0.1,94,Traditional Rocket,High,"India, China",65
Japan,2023,Mandatory impactful circuit,Unmanned,Danielmouth,Spy,0.81,100,Reusable Rocket,High,,95
China,2018,Grass-roots motivating functionalities,Unmanned,South Shelleyhaven,Spy,0.3,100,Traditional Rocket,Low,Germany,47
China,2008,Automated fresh-thinking array,Unmanned,Robertchester,Communication,2.17,95,Traditional Rocket,High,Germany,198
UK,2017,Quality-focused global capacity,Unmanned,Port Susanshire,Navigation,0.89,95,Traditional Rocket,Medium,"USA, France, China",203
Russia,2017,Multi-channeled global implementation,Unmanned,Brookschester,Navigation,3.5,91,Traditional Rocket,Medium,"Germany, Russia",256
France,2021,Virtual tangible implementation,Unmanned,Tanyaview,Weather,2.63,95,Solar Propulsion,High,China,336
Japan,2005,Extended directional strategy,Unmanned,Clarkchester,Weather,2.54,95,Traditional Rocket,Low,Germany,7
China,2011,Reduced object-oriented help-desk,Unmanned,Lake Shannonburgh,Navigation,0.9,99,Traditional Rocket,Medium,"Russia, India",12
USA,2011,Function-based contextually-based help-desk,Unmanned,East Isaac,Weather,9.79,94,Traditional Rocket,Low,"USA, France",173
Russia,2023,Multi-channeled maximized hierarchy,Manned,Andersonville,Communication,0.81,94,Traditional Rocket,High,"China, France, UK",181
UK,2022,Public-key incremental model,Unmanned,Port Amychester,Weather,0.03,98,AI Navigation,Medium,Germany,164
India,2023,Cross-platform directional knowledgebase,Unmanned,Port Scottstad,Research,0.55,95,Reusable Rocket,Medium,"Russia, UK",48
India,2009,Visionary holistic groupware,Unmanned,East Justin,Weather,0.65,88,Traditional Rocket,Low,UK,114
France,2018,Cloned intermediate firmware,Unmanned,West Tiffanystad,Communication,1.48,91,Reusable Rocket,Medium,"India, Germany",220
India,2011,Stand-alone mission-critical pricing structure,Unmanned,Christinafort,Weather,0.6,96,Solar Propulsion,Medium,UK,242
Germany,2020,Secured 4thgeneration solution,Unmanned,Lake Thomastown,Weather,2.22,99,Traditional Rocket,High,Japan,31
UK,2013,Face-to-face client-server challenge,Unmanned,West Benjamin,Spy,0.17,97,Traditional Rocket,Medium,UK,226
Russia,2022,De-engineered heuristic extranet,Unmanned,Wallshire,Navigation,1.23,89,Traditional Rocket,High,"Russia, USA",85
China,2011,Synergized global instruction set,Unmanned,Petersonland,Spy,2.3,98,Traditional Rocket,High,UK,176
China,2000,Compatible systematic synergy,Manned,Lake Charles,Weather,0.42,95,Traditional Rocket,Medium,Russia,296
France,2021,Implemented actuating complexity,Unmanned,South Michael,Communication,1.08,90,Reusable Rocket,Low,"India, Russia",165
Germany,2009,Profit-focused user-facing leverage,Unmanned,Hawkinschester,Navigation,3.62,93,Traditional Rocket,Low,Germany,329
India,2009,Multi-layered secondary hub,Unmanned,South James,Research,2.49,95,Traditional Rocket,Low,"Japan, Germany, USA",344
India,2015,Inverse analyzing success,Unmanned,Bruceberg,Research,0.61,94,Traditional Rocket,Medium,Japan,5
Russia,2015,Business-focused solution-oriented service-desk,Unmanned,Lake Sara,Navigation,5.28,90,Traditional Rocket,Medium,,298
Russia,2021,Adaptive homogeneous intranet,Unmanned,Sanchezmouth,Spy,0.12,95,Traditional Rocket,High,"Japan, Germany",190
Russia,2017,Optional heuristic help-desk,Unmanned,Michaelhaven,Communication,3.17,92,AI Navigation,High,"USA, UK",171
UK,2000,Digitized interactive productivity,Unmanned,Kennedymouth,Communication,0.05,89,Traditional Rocket,Low,"UK, Russia",166
France,2000,Multi-layered attitude-oriented productivity,Unmanned,Kaufmanberg,Navigation,2.74,93,Traditional Rocket,Low,USA,244
Japan,2024,Organized secondary synergy,Unmanned,New Jeremyland,Weather,0.86,96,Reusable Rocket,Low,China,64
China,2019,Face-to-face object-oriented frame,Unmanned,Briantown,Communication,7.74,98,Traditional Rocket,Medium,"Russia, UK",191
USA,2005,Reactive composite Local Area Network,Unmanned,Lake Amanda,Weather,4.5,96,Traditional Rocket,Low,Russia,25
UK,2024,Synergized motivating utilization,Unmanned,Grahamshire,Communication,0.48,97,Reusable Rocket,Medium,"India, France",282
China,2024,Stand-alone high-level hierarchy,Unmanned,South Scottborough,Communication,5.36,90,Traditional Rocket,Low,France,299
Japan,2000,Customer-focused directional moratorium,Unmanned,East Veronica,Research,0.52,99,Traditional Rocket,Low,"India, UK",2
USA,2019,Devolved exuding array,Unmanned,South Bobby,Weather,9.08,93,Traditional Rocket,High,USA,164
China,2002,Multi-lateral grid-enabled standardization,Unmanned,Clarkport,Communication,0.51,91,Traditional Rocket,High,"China, Russia",259
India,2021,Polarized context-sensitive artificial intelligence,Unmanned,New Stevenshire,Weather,1.15,90,Traditional Rocket,Medium,Russia,147
USA,2024,Realigned coherent project,Unmanned,Cuevasland,Communication,13.51,95,Traditional Rocket,Medium,Russia,203
France,2000,Multi-tiered well-modulated model,Unmanned,Grahammouth,Navigation,2.95,98,Traditional Rocket,High,"Russia, France",170
USA,2003,Progressive intermediate open architecture,Unmanned,Hoffmanchester,Communication,15.62,99,Traditional Rocket,Low,"China, France, Germany",219
India,2019,Configurable leadingedge middleware,Unmanned,Beanfurt,Research,0.1,97,Traditional Rocket,Low,"India, France",207
Japan,2004,Intuitive asynchronous knowledgebase,Unmanned,New Jamesmouth,Spy,5.14,93,Traditional Rocket,High,USA,20
UK,2002,Universal impactful conglomeration,Unmanned,Jenkinsside,Communication,0.17,88,Traditional Rocket,High,,164
UK,2018,Profound regional budgetary management,Unmanned,East Kayla,Weather,0.72,88,Traditional Rocket,Medium,"Russia, India",159
USA,2022,Exclusive grid-enabled portal,Unmanned,Jasonshire,Spy,7.62,98,Traditional Rocket,Medium,France,322
USA,2021,Future-proofed static intranet,Unmanned,East Johnton,Navigation,11.31,92,Reusable Rocket,High,Japan,232
Japan,2022,Fully-configurable bi-directional hardware,Unmanned,South Ashleyville,Spy,0.58,95,Traditional Rocket,Low,"China, Japan",68
USA,2009,Managed zero tolerance projection,Unmanned,Bryanfurt,Navigation,3.62,94,Traditional Rocket,Medium,India,327
UK,2023,Programmable coherent toolset,Unmanned,Port Charles,Communication,0.02,98,Traditional Rocket,Medium,,187
China,2017,User-friendly bandwidth-monitored core,Manned,West Jamesview,Research,4.08,92,Traditional Rocket,Medium,France,319
UK,2018,Decentralized systemic orchestration,Unmanned,Lisaport,Spy,0.1,88,Traditional Rocket,High,Germany,223
UK,2007,Public-key dynamic infrastructure,Unmanned,North Steven,Spy,1.09,95,Traditional Rocket,High,"Russia, China",148
Russia,2020,Programmable global budgetary management,Unmanned,Brittanyfort,Communication,1.95,92,Traditional Rocket,High,Germany,274
